VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=   100,F=POINT
 3.3148  0.164461E+06  0.619533E+05  0.875600E+05  0.655101E+06  0.165097E+07  0.297810E+06  -72.44  172.04   69.07  163.68  105.37   33.73
 3.3552  0.119790E+06  0.584252E+05  0.814820E+05  0.621183E+06  0.125411E+07  0.228202E+06  -91.08  159.01   23.26  154.35   86.92   17.01
 3.3955  0.840898E+05  0.559713E+05  0.220848E+06  0.589887E+06  0.933653E+06  0.307447E+06 -112.07  152.53   18.69  150.46   65.82   10.85
 3.4358  0.354057E+05  0.525415E+05  0.185054E+06  0.544265E+06  0.474855E+06  0.246711E+06 -157.61  139.45   29.87  139.88   28.88   20.99
 3.4761  0.937550E+05  0.610857E+05  0.150711E+06  0.617062E+06  0.804382E+06  0.192271E+06   81.04  134.87   20.78  135.99  -93.97   22.44
 3.5164  0.304118E+06  0.323127E+05  0.121930E+06  0.345356E+06  0.297092E+07  0.154837E+06  108.94  156.48    6.98  162.15  -71.07   22.09
 3.5567  0.242384E+06  0.433782E+05  0.945327E+05  0.375525E+06  0.245769E+07  0.135541E+06  122.46   89.47   -5.39   90.37  -57.71   17.47
 3.5970  0.190993E+06  0.561433E+05  0.482100E+05  0.497593E+06  0.197474E+07  0.121297E+06  112.78   93.27   -5.83   90.99  -67.55   21.36
 3.6373  0.151153E+06  0.515708E+05  0.462132E+05  0.458250E+06  0.158227E+07  0.924378E+05  100.92   99.68 -143.28   95.69  -79.96   21.79
 3.6776  0.997669E+05  0.372403E+05  0.679984E+05  0.321178E+06  0.107556E+07  0.601553E+05  101.41  101.59 -142.34   95.64  -82.75   40.42
 3.7179  0.470326E+05  0.172263E+05  0.768468E+05  0.130452E+06  0.372333E+06  0.349685E+05 -165.12  106.76 -159.32   90.44   -2.40  156.21
 3.7582  0.140589E+06  0.213862E+05  0.780356E+05  0.244107E+06  0.131695E+07  0.105202E+06  -73.15  -13.82 -166.65  -18.17  108.78 -141.75
 3.7985  0.137190E+06  0.249713E+05  0.605105E+05  0.268589E+06  0.136291E+07  0.145179E+06  -64.92    3.36 -170.98   -2.19  116.56 -126.95
 3.8388  0.118848E+06  0.196064E+05  0.264355E+05  0.212928E+06  0.121864E+07  0.141031E+06  -72.38  -30.64 -151.51  -30.58  109.01 -118.63
 3.8791  0.892357E+05  0.302455E+05  0.242939E+05  0.285616E+06  0.935825E+06  0.972624E+05  -81.80  -58.69   39.44  -56.37   99.25 -129.72
 3.9194  0.508642E+05  0.382864E+05  0.327923E+05  0.330316E+06  0.567561E+06  0.100726E+06  -76.14  -61.19   42.53  -61.93  100.42 -157.28
 3.9597  0.456254E+05  0.421713E+05  0.253386E+05  0.361770E+06  0.354052E+06  0.886865E+05   76.39  -64.40   24.84  -68.40 -104.32 -160.86
 4.0000  0.762474E+05  0.373230E+05  0.251345E+05  0.320757E+06  0.721729E+06  0.443979E+05  117.12  -57.44  -22.85  -60.76  -59.71 -137.97
